PlanetIdentifier,AgeGyr,AscendingNodeDeg,Declination,DiscoveryMethod,DiscoveryYear,DistFromSunParsec,Eccentricity,HostStarAgeGyr,HostStarMassSlrMass,HostStarMetallicity,HostStarRadiusSlrRad,HostStarTempK,InclinationDeg,LastUpdated,ListsPlanetIsOn,LongitudeDeg,PeriastronDeg,PeriodDays,PlanetaryMassJpt,RadiusJpt,RightAscension,SemiMajorAxisAU,SurfaceTempK,TypeFlag,HostStar
Kepler-173 b,,,+41 53 02,transit,2014.0,809.64,,,1.06,,0.9490000000000001,6031.0,,14/02/26,Confirmed planets,,,4.263742,,0.11756,19 38 35,,,0,Kepler-173
Kepler-611 b,,,+45 28 49,transit,2016.0,,,,1.01,0.06,1.01,5761.0,,16/05/10,Confirmed planets,,,2.4370333,,0.147,19 04 01,,,0,Kepler-611
KOI-1299 b,,,+48 17 09.2,transit,2014.0,870.0,0.535,3.5,1.3530000000000002,-0.07,4.16,4850.0,88.9,14/10/14,"""Confirmed planets,  Planets in binary systems,  S-type""",,,52.500969999999995,4.87,1.12,19 33 07.73,0.3034,,2,KOI-1299
KOI-1299 c,,,+48 17 09.2,RV,2014.0,870.0,0.498,3.5,1.3530000000000002,-0.07,4.16,4850.0,,15/02/03,"""Controversial,  Planets in binary systems,  S-type""",,60.8,406.2,2.43,,19 33 07.73,,,2,KOI-1299
Kepler-34 (AB) b,,,+44 38 30,transit,2012.0,1500.0,0.182,,,,,,90.355,12/01/11,"""Confirmed planets,  Planets in binary systems,  P-type""",,,288.822,0.22,0.764,19 45 45,1.0896,,1,Kepler-34 (AB)
Rho Coronae Borealis b,,,+33 18 12.63,RV,1997.0,17.24,0.0373,,0.889,-0.31,1.3617,5627.0,,17/11/27,Confirmed planets,,270.6,39.8458,1.0449,,16 01 02.662,0.2196,,0,Rho Coronae Borealis
Rho Coronae Borealis c,,,+33 18 12.63,RV,2016.0,17.24,0.052000000000000005,,0.889,-0.31,1.3617,5627.0,,17/11/27,Confirmed planets,,190.0,102.54,0.0787,,16 01 02.662,0.4123,,0,Rho Coronae Borealis
BD+03 2562 b,,,+02 45 36,RV,2017.0,2618.0,0.2,5.25,1.14,-0.71,32.35,4095.0,,17/06/30,Confirmed planets,,218.0,481.9,6.4,,11 50 16,1.3,,0,BD+03 2562
Kepler-260 b,,,+38 00 50,transit,2014.0,539.35,,,0.9,,0.862,5250.0,,14/02/26,Confirmed planets,,,8.187399000000001,,0.18317,19 27 42,,,0,Kepler-260
Kepler-260 c,,,+38 00 50,transit,2014.0,539.35,,,0.9,,0.862,5250.0,,14/02/26,Confirmed planets,,,76.050178,,0.15857000000000002,19 27 42,,,0,Kepler-260
Kepler-906 b,,,+40 07 32,transit,2016.0,,,,1.06,-0.09,1.02,6035.0,,16/05/10,Confirmed planets,,,41.6979976,,0.188,19 25 37,,,0,Kepler-906
KELT-10 b,,,-47 00 11.68,transit,2015.0,183.0,0.0,,1.112,0.09,1.209,5948.0,88.63,15/09/08,Confirmed planets,,,4.166286,0.679,1.399,18 58 11.601,0.0525,1377.0,0,KELT-10
Gliese 3634 b,,,-31 08 39,RV,2011.0,19.8,0.08,,0.45,,0.43,3314.0,59.0,11/02/07,Confirmed planets,,,2.64561,0.022000000000000002,,10 58 35,0.0287,565.4,0,Gliese 3634
Kepler-504 b,,,+45 58 21,transit,2016.0,,,,0.33,-0.31,0.33,3519.0,,16/05/10,Confirmed planets,,,9.54927542,,0.142,18 59 41,,,0,Kepler-504
HD 156279 b,,,+63 21 07.532,RV,2011.0,36.52,0.708,,0.93,0.14,,5453.0,,17/12/10,Confirmed planets,,-95.8,131.05,9.71,,17 12 23.2036,0.495,,0,HD 156279
HD 156279 c,,,+63 21 07.532,RV,2016.0,36.52,0.231,,0.93,0.14,,5453.0,,17/12/10,Confirmed planets,,101.0,4191.0,8.6,,17 12 23.2036,4.97,,0,HD 156279
Kepler-864 b,,,+46 19 14,transit,2016.0,,,,1.0,0.04,1.0,5754.0,,16/05/10,Confirmed planets,,,5.83376092,,0.214,19 00 14,,,0,Kepler-864
Kepler-247 c,,,+43 02 21,transit,2014.0,695.58,,,0.773,,0.768,5100.0,,14/02/26,Confirmed planets,,,9.439452000000001,,0.37272,19 14 34,,,0,Kepler-247
Kepler-247 d,,,+43 02 21,transit,2014.0,695.58,,,0.773,,0.768,5100.0,,14/02/26,Confirmed planets,,,20.477912,,0.35905,19 14 34,,,0,Kepler-247
Kepler-247 b,,,+43 02 21,transit,2014.0,695.58,,,0.773,,0.768,5100.0,,14/02/26,Confirmed planets,,,3.33616,,0.14945,19 14 34,,,0,Kepler-247
Kepler-942 b,,,+44 08 59,transit,2016.0,,,,0.81,0.09,0.75,4861.0,,16/05/10,Confirmed planets,,,44.96417488,,0.19,19 39 49,,,0,Kepler-942
Kepler-166 b,,,+48 52 52,transit,2014.0,639.62,,,0.879,,0.742,5413.0,,14/02/26,Confirmed planets,,,7.650253999999999,,0.20686999999999997,19 32 38,,,0,Kepler-166
Kepler-166 c,,,+48 52 52,transit,2014.0,639.62,,,0.879,,0.742,5413.0,,14/02/26,Confirmed planets,,,34.260281,,0.21689,19 32 38,,,0,Kepler-166
Kepler-166 d,,,+48 52 52,transit,2016.0,639.62,,,0.879,,0.742,5413.0,,16/05/10,Confirmed planets,,,1.55400393,,0.154,19 32 38,,,0,Kepler-166
Kepler-819 b,,,+39 10 38,transit,2016.0,,,,0.86,-0.06,0.81,5279.0,,16/05/10,Confirmed planets,,,33.1995648,,0.24600000000000002,19 41 29,,,0,Kepler-819
Kepler-554 b,,,+51 21 29,transit,2016.0,,,,0.93,0.14,0.92,5447.0,,16/05/10,Confirmed planets,,,1.90220856,,0.38299999999999995,19 45 38,,,0,Kepler-554
Kepler-8 b,,,+42 27 04,transit,2010.0,1330.0,0.0,,1.13,0.05,1.45,6251.0,84.07,15/12/03,Confirmed planets,,,3.5225400000000002,0.59,1.42,18 45 09,0.0483,1519.5,0,Kepler-8
HAT-P-56 b,,,+27 15 08.2182,transit,2015.0,310.5,,2.01,1.296,,1.4280000000000002,6566.0,82.13,15/06/05,Confirmed planets,,,2.7908327,2.18,1.466,06 43 23.52950,0.0423,1840.0,0,HAT-P-56
Kepler-266 b,,,+44 10 00,transit,2014.0,1577.36,,,1.06,,1.028,5885.0,,14/02/26,Confirmed planets,,,6.61833,,0.226,19 37 56,,,0,Kepler-266
Kepler-266 c,,,+44 10 00,transit,2014.0,1577.36,,,1.06,,1.028,5885.0,,14/02/26,Confirmed planets,,,107.723601,,0.3545,19 37 56,,,0,Kepler-266
Kepler-920 b,,,+49 09 31,transit,2016.0,,,,0.89,0.0,0.85,5403.0,,16/05/10,Confirmed planets,,,6.53192704,,0.21600000000000003,18 57 11,,,0,Kepler-920
Kepler-920 c,,,+49 09 31,transit,2016.0,,,,0.89,0.0,0.85,5403.0,,16/05/10,Confirmed planets,,,100.8274113,,0.33899999999999997,18 57 11,,,0,Kepler-920
Kepler-890 b,,,+43 45 49,transit,2016.0,,,,1.09,0.09,1.13,5954.0,,16/05/10,Confirmed planets,,,52.75875577,,0.7929999999999999,19 13 45,,,0,Kepler-890
HD 12661 b,,,+25 24 51,RV,2000.0,37.16,0.377,,1.07,0.29,1.12,5742.0,,11/01/04,Confirmed planets,,,263.6,2.3,,02 04 34,0.83,291.4,0,HD 12661
HD 12661 c,,,+25 24 51,RV,2002.0,37.16,0.031,,1.07,0.29,1.12,5742.0,,11/01/04,Confirmed planets,,,1708.0,1.57,,02 04 34,2.56,167.5,0,HD 12661
Kepler-213 b,,,+44 38 49,transit,2014.0,702.35,,,0.976,,1.195,5696.0,,14/02/26,Confirmed planets,,,2.46236,,0.14762999999999998,19 23 17,,,0,Kepler-213
Kepler-213 c,,,+44 38 49,transit,2014.0,702.35,,,0.976,,1.195,5696.0,,14/02/26,Confirmed planets,,,4.822962,,0.21324,19 23 17,,,0,Kepler-213
HD 128311 b,,,+09 44 47,RV,2002.0,16.6,0.3,,0.828,0.08,0.73,4965.0,63.8,15/01/08,Confirmed planets,259.2,-76.2,460.1,1.83,,14 36 00,,177.7,0,HD 128311
HD 128311 c,,,+09 44 47,RV,2005.0,16.6,0.12,,0.828,0.08,0.73,4965.0,63.8,15/01/08,Confirmed planets,184.2,-19.7,910.7,3.2,,14 36 00,,140.7,0,HD 128311
WASP-49 b,,,-16 57 55,transit,2011.0,170.0,0.0,,0.938,-0.23,0.976,5600.0,84.89,12/05/15,Confirmed planets,,,2.7817387000000005,0.37799999999999995,1.115,06 04 21,0.0379,1369.0,0,WASP-49
Kepler-44 b,,,+45 45 44,transit,2011.0,2250.0,,5.8,1.12,0.42,1.35,5800.0,84.96,15/12/03,Confirmed planets,,,3.2467292999999997,1.0,1.09,20 00 25,0.0446,,0,Kepler-44
HD 72892 b,,,-14 27 24.1,RV,2016.0,72.78,0.423,8.0,1.02,0.25,1.22,5688.0,,16/04/02,Confirmed planets,,353.0,39.475,5.45,,08 34 52.60,0.228,,0,HD 72892
Kepler-1043 b,,,+47 34 07,transit,2016.0,,,,0.92,-0.11,0.9,5629.0,,16/05/10,Confirmed planets,,,38.5053398,,0.22699999999999998,18 46 39,,,0,Kepler-1043
Kepler-1306 b,,,+46 56 45,transit,2016.0,,,,0.98,0.0,0.97,5727.0,,16/05/10,Confirmed planets,,,16.29595382,,0.17,19 37 55,,,0,Kepler-1306
Kepler-821 b,,,+39 22 46,transit,2016.0,,,,0.84,-0.03,0.8,5191.0,,16/05/10,Confirmed planets,,,1.92279873,,0.11699999999999999,19 02 28,,,0,Kepler-821
WASP-138 b,,,-00 27 50.5,transit,2016.0,308.0,,,1.22,-0.09,1.36,6272.0,88.5,16/07/27,Confirmed planets,,,3.634433,1.22,,02 46 33.37,0.0494,,0,WASP-138
Kepler-242 b,,,+41 48 30,transit,2014.0,859.95,,,0.72,,0.85,5020.0,,14/02/26,Confirmed planets,,,8.20395,,0.23785,19 06 15,,,0,Kepler-242
Kepler-242 c,,,+41 48 30,transit,2014.0,859.95,,,0.72,,0.85,5020.0,,14/02/26,Confirmed planets,,,14.496481,,0.18225999999999998,19 06 15,,,0,Kepler-242
Kepler-518 b,,,+41 22 26,transit,2016.0,,,,0.96,-0.23,0.88,5842.0,,16/05/10,Confirmed planets,,,8.51203588,,0.188,19 08 22,,,0,Kepler-518
Kepler-1069 b,,,+47 59 20,transit,2016.0,,,,0.99,0.04,0.98,5722.0,,16/05/10,Confirmed planets,,,23.8990296,,0.14300000000000002,19 23 55,,,0,Kepler-1069
Kepler-1475 b,,,+44 45 11,transit,2016.0,,,,1.18,0.03,1.28,6214.0,,16/05/10,Confirmed planets,,,82.177374,,0.261,19 43 48,,,0,Kepler-1475
Kepler-706 b,,,+41 56 39,transit,2016.0,,,,0.87,-0.06,0.84,5394.0,,16/05/10,Confirmed planets,,,41.40831347,,1.175,19 27 02,,,0,Kepler-706
Kepler-170 b,,,+41 37 46,transit,2014.0,849.82,,,1.089,,1.035,5679.0,,14/02/26,Confirmed planets,,,7.930592,,0.29162,18 58 05,,,0,Kepler-170
Kepler-170 c,,,+41 37 46,transit,2014.0,849.82,,,1.089,,1.035,5679.0,,14/02/26,Confirmed planets,,,16.665863,,0.26063000000000003,18 58 05,,,0,Kepler-170
Kepler-1065 b,,,+38 47 26,transit,2016.0,,,,0.94,-0.01,0.93,5635.0,,16/05/10,Confirmed planets,,,3.60930891,,0.33299999999999996,19 38 03,,,0,Kepler-1065
Kepler-1065 c,,,+38 47 26,transit,2016.0,,,,0.94,-0.01,0.93,5635.0,,16/05/10,Confirmed planets,,,2.37030743,,0.14300000000000002,19 38 03,,,0,Kepler-1065
HD 175167 b,,,-69 56 39,RV,2010.0,67.02,0.54,,1.102,0.19,,5940.0,,10/01/26,Confirmed planets,,,1290.0,7.8,,19 00 01,2.4,154.0,0,HD 175167
Kepler-725 b,,,+44 48 42,transit,2016.0,,,,0.88,-0.01,0.84,5363.0,,16/05/10,Confirmed planets,,,39.64317811,,0.948,18 55 55,,,0,Kepler-725
Kepler-1394 b,,,+45 05 03,transit,2016.0,,,,1.64,0.06,2.55,6481.0,,16/05/10,Confirmed planets,,,3.93766373,,0.124,18 53 49,,,0,Kepler-1394
Kepler-795 b,,,+38 32 44,transit,2016.0,,,,0.94,-0.02,0.96,5631.0,,16/05/10,Confirmed planets,,,29.6193421,,0.15,19 24 05,,,0,Kepler-795
Kepler-94 b,,,+47 29 49,transit,2014.0,223.0,,1.41,0.81,0.34,0.76,4781.0,,14/02/24,Confirmed planets,,,2.50806,0.034099000000000004,0.319867,18 44 47,,,0,Kepler-94
Kepler-94 c,,,+47 29 49,RV,2014.0,223.0,,1.41,0.81,0.34,0.76,4781.0,,14/02/24,Confirmed planets,,,820.3,9.83346,,18 44 47,,,0,Kepler-94
TYC 3667-1280-1 b,,,+58 25 34.268,RV,2016.0,481.0,0.036000000000000004,1.3,1.87,-0.08,6.26,5130.0,,16/04/11,Confirmed planets,,240.0,26.468000000000004,5.4,,00 51 32.9649,0.21,,0,TYC 3667-1280-1
Kepler-1329 b,,,+48 16 16,transit,2016.0,,,,0.72,0.02,0.69,4500.0,,16/05/10,Confirmed planets,,,9.33646594,,0.19399999999999998,18 46 35,,,0,Kepler-1329
HD 202206 b,,,-20 47 21,RV,2002.0,46.34,0.435,,1.13,0.37,1.02,5750.0,,10/12/30,Confirmed planets,,,255.87,17.4,,21 14 57,0.83,277.6,0,HD 202206
HD 202206 c,,,-20 47 21,RV,2004.0,46.34,0.267,,1.13,0.37,1.02,5750.0,,10/12/30,Confirmed planets,,,1383.4,2.44,,21 14 57,2.55,159.6,0,HD 202206
Kepler-918 b,,,+48 16 04,transit,2016.0,,,,1.11,0.06,1.14,6028.0,,16/05/10,Confirmed planets,,,4.85386933,,0.155,19 52 48,,,0,Kepler-918
Kepler-1326 b,,,+39 16 08,transit,2016.0,,,,1.45,0.02,1.74,6725.0,,16/05/10,Confirmed planets,,,42.3514267,,0.373,19 44 53,,,0,Kepler-1326
Kepler-924 b,,,+40 23 52,transit,2016.0,,,,1.14,0.01,1.23,6167.0,,16/05/10,Confirmed planets,,,61.0370117,,0.27399999999999997,19 22 40,,,0,Kepler-924
Kepler-1255 b,,,+42 43 35,transit,2016.0,,,,1.08,0.02,1.12,6018.0,,16/05/10,Confirmed planets,,,36.2919336,,0.207,19 40 57,,,0,Kepler-1255
EPIC 211990866 b,,,+20 06 22,,2016.0,,0.24,0.8,1.18,,1.19,6120.0,85.1,16/09/07,Confirmed planets,,,1.673916,,0.31,08 38 24,,,0,EPIC 211990866
EPIC 201828749 b,,,+05 53 39.56,transit,2015.0,146.0,,,0.74,-0.69,0.71,5552.0,,15/07/07,"""Controversial,  Planets in binary systems,  S-type""",,,33.51569,,0.353,11 42 37.042,0.1875,613.0,2,EPIC 201828749
HD 131664 b,,320.8,-73 32 07.2,RV,,55.43,0.638,2.4,1.1,0.32,1.16,5886.0,167.1,15/01/14,Controversial,,149.7,1951.0,85.2,,15 00 06.08,3.17,,0,HD 131664
Kepler-728 b,,,+45 06 56,transit,2016.0,,,,0.95,-0.03,0.93,5660.0,,16/05/10,Confirmed planets,,,5.74347727,,0.298,19 24 22,,,0,Kepler-728
WASP-92 b,,,+51 02 27.9,transit,2016.0,530.0,0.0,,1.19,0.0,1.341,6280.0,83.75,16/08/19,Confirmed planets,,,2.1746742,0.805,1.4609999999999999,16 26 46.10,0.0348,,0,WASP-92
OGLE-2015-BLG-0954L b,,,-28 20 21,,2016.0,600.0,,,0.37,,,,,16/03/02,Confirmed planets,,,,4.4,,18 00 44,1.2,,0,OGLE-2015-BLG-0954L
Kepler-968 b,,,+50 06 43,transit,2016.0,,,,0.76,0.13,0.7,4598.0,,16/05/10,Confirmed planets,,,3.69298373,,0.17800000000000002,19 02 25,,,0,Kepler-968
Kepler-968 c,,,+50 06 43,transit,2016.0,,,,0.76,0.13,0.7,4598.0,,16/05/10,Confirmed planets,,,5.70940492,,0.151,19 02 25,,,0,Kepler-968
Kepler-1085 b,,,+46 08 28,transit,2016.0,,,,1.11,0.08,1.14,6000.0,,16/05/10,Confirmed planets,,,219.3217528,,0.644,19 09 55,,,0,Kepler-1085
HAT-P-47 b,,,+30 21 37.8,transit,2016.0,268.0,0.0,1.5,1.3869999999999998,0.0,1.515,6703.0,84.8,17/06/25,Confirmed planets,,,4.732182,0.20600000000000002,1.3130000000000002,02 33 13.96,0.0615,,0,HAT-P-47
Kepler-709 b,,,+42 22 49,transit,2016.0,,,,0.8,-0.08,0.77,5071.0,,16/05/10,Confirmed planets,,,16.08524954,,0.261,19 28 25,,,0,Kepler-709
Kepler-1639 b,,,+48 48 08,transit,2016.0,,,,1.12,-0.03,1.18,6150.0,,16/05/10,Confirmed planets,,,9.878482,,0.23,18 52 16,,,0,Kepler-1639
Kepler-1256 b,,,+44 41 01,transit,2016.0,,,,1.17,0.05,1.36,6129.0,,16/05/10,Confirmed planets,,,12.4127754,,0.133,19 25 54,,,0,Kepler-1256
Kepler-977 b,,,+42 14 54,transit,2016.0,,,,0.87,-0.01,0.83,5315.0,,16/05/10,Confirmed planets,,,26.85328322,,0.23399999999999999,19 26 04,,,0,Kepler-977
Kepler-951 b,,,+38 06 52,transit,2016.0,,,,0.77,-0.01,0.73,4834.0,,16/05/10,Confirmed planets,,,71.52530845,,0.499,19 10 57,,,0,Kepler-951
CoRoT-21 b,,,-00 17 57.06,transit,2011.0,,0.0,,1.29,,1.945,6200.0,86.8,11/12/13,Confirmed planets,,,2.72474,2.26,1.3,06 44 12.64,0.0417,1867.0,0,CoRoT-21
KIC 6185331 b,,,+41 32 06,transit,2011.0,,,,0.93,-0.07,0.91,5612.0,89.2,17/11/28,Confirmed planets,,,49.7701438,,0.529,18 57 06,0.2672,,0,KIC 6185331
Kepler-395 c,,,+45 08 11,transit,2014.0,537.21,,,0.547,,0.556,4262.0,,14/02/26,Confirmed planets,,,34.989262,,0.12029000000000001,19 34 02,,,0,Kepler-395
Kepler-395 b,,,+45 08 11,transit,2014.0,537.21,,,0.547,,0.556,4262.0,,14/02/26,Confirmed planets,,,7.054346000000001,,0.09386,19 34 02,,,0,Kepler-395
HD 9174 b,,,-19 36 16.2,RV,2016.0,78.93,0.12,9.0,1.03,0.39,1.67,5577.0,,16/04/02,Confirmed planets,,101.0,1179.0,1.11,,01 30 01.00,2.2,,0,HD 9174
Kepler-805 b,,,+45 03 12,transit,2016.0,,,,1.19,-0.06,1.65,6112.0,,16/05/10,Confirmed planets,,,30.8638931,,0.258,19 32 55,,,0,Kepler-805
CoRoT-31 b,,,-04 34 40,transit,2017.0,220.0,0.02,4.2,1.26,0.0,2.2,5700.0,83.2,17/08/01,Confirmed planets,,306.0,4.62941,0.85,1.5,06 19 17,0.059000000000000004,,0,CoRoT-31
EPIC 201855371 b,,,+06 24 44.14,transit,2015.0,134.0,,,0.71,0.15,0.66,4320.0,,15/07/07,Confirmed planets,,,17.96753,,0.205,11 53 19.146,0.11900000000000001,487.0,0,EPIC 201855371
HD 66428 b,,,-01 09 45.750,RV,2006.0,53.4,0.44799999999999995,,1.061,0.31,0.98,5752.0,,17/12/10,Confirmed planets,,179.7,2280.4,3.09,,08 03 28.6672,3.46,,0,HD 66428
Kepler-626 b,,,+39 42 30,transit,2016.0,,,,1.01,0.01,1.05,5813.0,,16/05/10,Confirmed planets,,,14.48585199,,0.204,19 14 48,,,0,Kepler-626
WASP-33 b,,,+37 33 02,transit,2010.0,116.0,0.0,,1.495,0.1,1.444,7400.0,87.67,12/04/08,Confirmed planets,,,1.21986967,4.59,1.4380000000000002,02 26 51,0.025580000000000002,2451.5,0,WASP-33
Kepler-1037 b,,,+47 10 15,transit,2016.0,,,,0.82,-0.03,0.78,5105.0,,16/05/10,Confirmed planets,,,1.06378867,,0.114,19 45 22,,,0,Kepler-1037
Gliese 3293 b,,,-25 10 08.9,RV,2014.0,18.2,0.09,,0.42,0.02,0.40399999999999997,3466.0,,14/11/25,Confirmed planets,,,30.6,0.076,,04 28 35.72,0.1434,,0,Gliese 3293
Gliese 3293 d,,,-25 10 08.9,RV,2014.0,18.2,0.37,,0.42,0.02,0.40399999999999997,3466.0,,14/11/25,Confirmed planets,,,123.98,0.07,,04 28 35.72,0.3644,,0,Gliese 3293
Gliese 3293 c,,,-25 10 08.9,RV,2014.0,18.2,0.13,,0.42,0.02,0.40399999999999997,3466.0,,14/11/25,Controversial,,,48.14,0.027000000000000003,,04 28 35.72,0.1939,,0,Gliese 3293
Kepler-568 b,,,+48 24 04,transit,2016.0,,,,0.55,0.11,0.53,3768.0,,16/05/10,Confirmed planets,,,11.02347475,,0.20199999999999999,19 52 25,,,0,Kepler-568
Kepler-91 b,,,+44 07 00,transit,2013.0,1030.0,0.0519,,1.31,0.11,6.3,4550.0,67.37,15/01/27,Confirmed planets,,302.8,6.24668005,0.66,1.4,19 02 41,0.0726,,0,Kepler-91
Kepler-91 b Trojan,,,+44 07 00,transit,2015.0,1030.0,,,1.31,0.11,6.3,4550.0,67.37,17/11/29,Controversial,,,6.24668005,0.025,0.26,19 02 41,0.0726,,0,Kepler-91 b Trojan
Kepler-1346 b,,,+45 10 45,transit,2016.0,,,,1.14,0.04,1.21,6133.0,,16/05/10,Confirmed planets,,,3.40165668,,0.141,19 27 22,,,0,Kepler-1346
HD 27631 b,,,-41 57 37,RV,2011.0,45.5,0.12,4.4,0.94,-0.12,1.0,5737.0,,12/11/29,Confirmed planets,,134.0,2208.0,1.45,,04 19 45,3.25,137.7,0,HD 27631
CHXR 73 b,,,-77 37 33,imaging,2006.0,,,,0.35,,,3840.0,,11/03/08,Confirmed planets,,,,12.0,,11 06 29,,,0,CHXR 73
EPIC 201403446 b,,,-00 54 26.14,transit,2015.0,362.0,,,1.01,-0.5,1.12,6445.0,,15/07/07,"""Controversial,  Planets in binary systems,  S-type""",,,19.15344,,0.188,11 37 03.923,0.1408,889.0,2,EPIC 201403446
Kepler-277 b,,,+39 04 37,transit,2013.0,951.43,,5.0,1.19,,1.65,5946.0,,13/09/13,Confirmed planets,,,17.324,0.27619,0.2661,19 06 19,,,0,Kepler-277
Kepler-277 c,,,+39 04 37,transit,2013.0,951.43,,5.0,1.19,,1.65,5946.0,,13/09/13,Confirmed planets,,,33.006,0.20856,0.3062,19 06 19,,,0,Kepler-277
Kepler-1273 b,,,+44 52 24,transit,2016.0,,,,0.94,0.03,0.91,5566.0,,16/05/10,Confirmed planets,,,28.625653,,0.222,19 03 13,,,0,Kepler-1273
KMT-2015-1 b,,,-28 01 54.1,microlensing,2015.0,8200.0,,,0.18,,,,,15/07/22,Confirmed planets,,,,2.2,,17 58 39.01,,,0,KMT-2015-1
Kepler-58 b,,,+39 06 54,transit,2014.0,1302.83,,,1.04,,1.127,6099.0,,14/02/26,Confirmed planets,,,10.218558,,0.25699,19 45 26,,,0,Kepler-58
Kepler-58 c,,,+39 06 54,transit,2014.0,1302.83,,,1.04,,1.127,6099.0,,14/02/26,Confirmed planets,,,54.15574300000001,,0.24241,19 45 26,,,0,Kepler-58
Kepler-58 d,,,+39 06 54,transit,2014.0,1302.83,,,1.04,,1.127,6099.0,,14/02/26,Confirmed planets,,,40.101371,,0.26792,19 45 26,,,0,Kepler-58
Kepler-1166 b,,,+50 54 10,transit,2016.0,,,,0.9,-0.02,0.86,5446.0,,16/05/10,Confirmed planets,,,33.2406882,,0.151,19 21 24,,,0,Kepler-1166
OGLE-2012-BLG-0950L b,,,-29 16 06,,2016.0,3000.0,,,0.56,,,5500.0,,17/01/31,Confirmed planets,,,,0.11,,18 08 05,2.7,,0,OGLE-2012-BLG-0950L
HD 12484 b,,,+02 48 57.074,RV,2016.0,48.7,0.07,,1.01,0.05,,5920.0,,17/12/09,Confirmed planets,,-35.0,58.83,2.98,,02 02 26.7304,0.297,,0,HD 12484
Kepler-245 b,,,+42 26 10,transit,2014.0,919.92,,,0.777,,0.795,5100.0,,14/02/26,Confirmed planets,,,7.490189999999999,,0.2342,19 26 33,,,0,Kepler-245
Kepler-245 d,,,+42 26 10,transit,2014.0,919.92,,,0.777,,0.795,5100.0,,14/02/26,Confirmed planets,,,36.277108,,0.27612,19 26 33,,,0,Kepler-245
Kepler-245 c,,,+42 26 10,transit,2014.0,919.92,,,0.777,,0.795,5100.0,,14/02/26,Confirmed planets,,,17.460812,,0.19866,19 26 33,,,0,Kepler-245
Kepler-245 e,,,+42 26 10,transit,2016.0,919.92,,,0.777,,0.795,5100.0,,16/05/10,Confirmed planets,,,3.21982106,,0.156,19 26 33,,,0,Kepler-245
Kepler-1073 b,,,+38 13 59,transit,2016.0,,,,1.0,0.0,1.0,5792.0,,16/05/10,Confirmed planets,,,8.67888593,,0.205,19 36 37,,,0,Kepler-1073
Kepler-1073 c,,,+38 13 59,transit,2016.0,,,,1.0,0.0,1.0,5792.0,,16/05/10,Confirmed planets,,,4.02582254,,0.146,19 36 37,,,0,Kepler-1073
Kepler-559 b,,,+43 48 10,transit,2016.0,,,,0.96,0.03,0.95,5630.0,,16/05/10,Confirmed planets,,,17.58752333,,0.322,19 46 33,,,0,Kepler-559
HD 35759 b,,,+64 19 07.589,RV,2016.0,70.9,0.389,,1.15,0.04,,6060.0,,17/12/09,Confirmed planets,,-104.0,82.46700000000001,3.76,,05 31 33.3492,0.389,,0,HD 35759
Kepler-782 b,,,+47 45 34,transit,2016.0,,,,0.98,-0.14,1.01,5867.0,,16/05/10,Confirmed planets,,,158.6853308,,0.28600000000000003,19 15 28,,,0,Kepler-782
Kepler-1629 b,,,+43 46 27,transit,2016.0,,,,1.01,0.05,1.01,5776.0,,16/05/10,Confirmed planets,,,3.87595807,,0.069,18 40 50,,,0,Kepler-1629
Kepler-1016 b,,,+45 59 05,transit,2016.0,,,,0.99,-0.03,1.0,5821.0,,16/05/10,Confirmed planets,,,1.95452434,,0.19399999999999998,19 38 27,,,0,Kepler-1016
Kepler-1016 c,,,+45 59 05,transit,2016.0,,,,0.99,-0.03,1.0,5821.0,,16/05/10,Confirmed planets,,,105.6551369,,0.32799999999999996,19 38 27,,,0,Kepler-1016
NY Virginis (AB) b,,,-02 01 49,timing,2011.0,613.18,,,,,,,,12/12/08,"""Confirmed planets,  Planets in binary systems,  P-type""",,,2900.0,2.3,,13 38 48,3.3,,1,NY Virginis (AB)
HD 219077 b,,,-62 42 00,RV,2012.0,29.0,0.77,8.9,1.05,-0.13,1.91,5362.0,,12/11/29,Confirmed planets,,57.61,5501.0,10.39,,23 14 07,6.22,124.9,0,HD 219077
HW Vir (AB) b,,,-08 40 16.8338,timing,2008.0,181.0,0.4,,,,,,,12/11/24,"""Controversial,  Planets in binary systems,  P-type""",,,4640.0,14.3,,12 44 20.23731,4.69,,1,HW Vir (AB)
WASP-13 b,,,+33 52 57,transit,2008.0,155.0,0.0,,1.187,0.0,1.5590000000000002,5989.0,85.43,14/03/20,Confirmed planets,,,4.3530135,0.5,1.4069999999999998,09 20 25,0.05379,1203.3,0,WASP-13
HD 215152 b,,,-06 24 03,RV,2011.0,21.5,0.34,,,,,5150.0,,11/09/12,Confirmed planets,,,7.2825,0.0087,,22 43 21,0.0652,704.7,0,HD 215152
HD 215152 c,,,-06 24 03,RV,2011.0,21.5,0.38,,,,,5150.0,,11/09/12,Confirmed planets,,,10.866,0.0097,,22 43 21,0.0852,615.3,0,HD 215152
18 Del b,,,+10 50 21.4289,RV,2008.0,75.3,0.08,,2.3,-0.052000000000000005,8.5,4979.0,,15/09/23,Confirmed planets,,166.1,993.3,10.3,,20 58 25.93397,2.6,,0,18 Del
Kepler-210 c,,,+43 04 59,transit,2014.0,265.15,,0.35,0.612,,0.65,4559.0,85.73,14/03/14,Confirmed planets,,,7.9725,,0.436,19 30 00,0.037102328510000004,,0,Kepler-210
