,PlanetIdentifier,Declination,DiscoveryMethod,DiscoveryYear,DistFromSunParsec,Eccentricity,HostStarMassSlrMass,HostStarMetallicity,HostStarRadiusSlrRad,HostStarTempK,ListsPlanetIsOn,PeriodDays,PlanetaryMassJpt,RadiusJpt,RightAscension,SemiMajorAxisAU,SurfaceTempK,TypeFlag,HostStar,HostStarLuminosity,HostStarInnerHabitabilityAU,HostStarOuterHabitabilityAU,HostStarClass,HostStarColor
110,KELT-16 b,+31 39 40,transit,2016.0,365.0,,1.211,-0.002,1.36,6236.0,Confirmed planets,0.9689951,2.75,1.415,20 57 04,0.02044,,0,KELT-16,9.640930404709024e+26,1.5135686856020654,2.1805223463867205,F,#f8f7ff
111,Kepler-603 b,+42 17 27,transit,2016.0,,,1.01,0.03,1.01,5808.0,Confirmed planets,21.05358596,,0.236,19 37 07,,,0,Kepler-603,4.000975420410784e+26,0.9750471152414564,1.404701381436272,G,#fff4ea
112,Kepler-603 c,+42 17 27,transit,2016.0,,,1.01,0.03,1.01,5808.0,Confirmed planets,127.9075774,,0.58,19 37 07,,,0,Kepler-603,4.000975420410784e+26,0.9750471152414564,1.404701381436272,G,#fff4ea
113,Kepler-603 d,+42 17 27,transit,2016.0,,,1.01,0.03,1.01,5808.0,Confirmed planets,6.2171292000000005,,0.118,19 37 07,,,0,Kepler-603,4.000975420410784e+26,0.9750471152414564,1.404701381436272,G,#fff4ea
114,Kepler-579 b,+39 57 11,transit,2016.0,,,0.99,0.13,0.96,5636.0,Confirmed planets,9.66857723,,0.17800000000000002,19 40 00,,,0,Kepler-579,3.205111252067329e+26,0.8726984698441327,1.257252831176063,G,#fff4ea
115,HD 106315 b,-00 23 36.533,,2017.0,107.3,0.3,1.07,-0.24,1.18,6290.0,Confirmed planets,9.5521,0.025,0.199,12 13 53.3956,0.09012,,0,HD 106315,7.51247952577341e+26,1.3360856845189508,1.924831505497285,F,#f8f7ff
116,HD 106315 c,-00 23 36.533,,2017.0,107.3,0.23,1.07,-0.24,1.18,6290.0,Confirmed planets,21.0576,0.063,0.35200000000000004,12 13 53.3956,0.1526,,0,HD 106315,7.51247952577341e+26,1.3360856845189508,1.924831505497285,F,#f8f7ff
117,Kepler-1049 b,+47 46 23,transit,2016.0,,,0.51,-0.33,0.49,3864.0,Confirmed planets,3.27346074,,0.085,19 09 23,,,0,Kepler-1049,1.8448341785683043e+25,0.20937331443344642,0.30163361280005613,K,#ffd2a1
118,EPIC 206011691 b,-14 29 20.35,transit,2015.0,65.0,,0.64,-0.11,0.6,4043.0,Confirmed planets,9.32414,,0.142,22 41 12.89,0.0731,,0,EPIC 206011691,3.31538654874138e+25,0.2806788869443113,0.4043599679109189,K,#ffd2a1
119,EPIC 206011691 c,-14 29 20.35,transit,2015.0,65.0,,0.64,-0.11,0.6,4043.0,Confirmed planets,15.5012,,0.171,22 41 12.89,0.1026,,0,EPIC 206011691,3.31538654874138e+25,0.2806788869443113,0.4043599679109189,K,#ffd2a1
120,Kepler-794 b,+38 59 49,transit,2016.0,,,1.19,0.34,1.38,5839.0,Confirmed planets,11.13125132,,0.188,19 12 32,,,0,Kepler-794,7.630074506901077e+26,1.3465021446759202,1.9398379762036235,G,#fff4ea
121,Kepler-756 b,+41 12 04,transit,2016.0,,,0.82,-0.19,0.79,5282.0,Confirmed planets,1.22486632,,0.1,19 22 26,,,0,Kepler-756,1.6744202787919427e+26,0.6307756177782423,0.908726735169097,G,#fff4ea
122,Kepler-784 b,+47 26 55,transit,2016.0,,,1.0,0.07,1.32,5674.0,Confirmed planets,31.5922646,,0.141,19 43 41,,,0,Kepler-784,6.224749704572776e+26,1.216196100798894,1.7521126068523931,G,#fff4ea
123,WASP-62 b,-63 59 18.3,transit,2011.0,160.0,0.0,1.25,0.04,1.28,6230.0,Confirmed planets,4.411953,0.57,1.39,05 48 33.59,0.0567,1305.2,0,WASP-62,8.507242859305078e+26,1.4217953042169402,2.048309047566961,F,#f8f7ff
124,Kepler-150 c,+40 31 15,transit,2014.0,973.33,,0.97,,0.939,5560.0,Confirmed planets,7.3819979999999985,,0.33627,19 12 56,,,0,Kepler-150,2.904337322785333e+26,0.8307420387724248,1.196808309300862,G,#fff4ea
125,Kepler-150 d,+40 31 15,transit,2014.0,973.33,,0.97,,0.939,5560.0,Confirmed planets,12.56093,,0.25425,19 12 56,,,0,Kepler-150,2.904337322785333e+26,0.8307420387724248,1.196808309300862,G,#fff4ea
126,Kepler-150 e,+40 31 15,transit,2014.0,973.33,,0.97,,0.939,5560.0,Confirmed planets,30.826557,,0.28433,19 12 56,,,0,Kepler-150,2.904337322785333e+26,0.8307420387724248,1.196808309300862,G,#fff4ea
127,Kepler-150 b,+40 31 15,transit,2014.0,973.33,,0.97,,0.939,5560.0,Confirmed planets,3.428054,,0.11391,19 12 56,,,0,Kepler-150,2.904337322785333e+26,0.8307420387724248,1.196808309300862,G,#fff4ea
128,Kepler-663 b,+47 56 48,transit,2016.0,,,0.86,0.03,0.82,5264.0,Confirmed planets,4.99678284,,0.232,19 51 14,,,0,Kepler-663,1.7795407285494065e+26,0.6502743537817147,0.9368175842903275,G,#fff4ea
129,WASP-14 b,+21 53 41,transit,2008.0,160.0,0.087,1.211,,1.306,6462.0,"""Confirmed planets,  Planets in binary systems,  S-type""",2.2437661,7.341,1.281,14 33 06,0.036000000000000004,1718.8,2,WASP-14,1.0251109524471907e+27,1.5607311446521368,2.248466931160105,S-type binary,nan
130,Kepler-708 b,+42 12 45,transit,2016.0,,,0.97,0.01,0.96,5692.0,Confirmed planets,3.16789194,,0.261,19 35 16,,,0,Kepler-708,3.3344079806675614e+26,0.8901271103904231,1.2823613977973465,G,#fff4ea
131,HD 2952 b,+54 53 41,RV,2013.0,115.0,0.129,2.5,0.0,12.02,4844.0,Confirmed planets,311.6,1.6,,00 33 10,1.2,,0,HD 2952,2.7418404436803558e+28,8.07167652682906,11.628458759078269,K,#ffd2a1
132,WASP-127 b,-03 50 06.3,transit,2016.0,,,1.08,,1.39,5620.0,Confirmed planets,4.1780620000000015,0.18,1.37,10 42 14.08,0.052000000000000005,,0,WASP-127,6.643417830755899e+26,1.2564304235239814,1.81007617377099,G,#fff4ea
133,Kepler-699 b,+41 23 46,transit,2016.0,,,0.81,-0.26,0.78,5330.0,Confirmed planets,27.80756293,,1.259,19 47 33,,,0,Kepler-699,1.69244571056205e+26,0.6341617349276822,0.9136049439891347,G,#fff4ea
134,Kepler-791 b,+39 01 46,transit,2016.0,,,1.3,0.06,1.47,6383.0,Confirmed planets,14.5539759,,0.272,19 34 23,,,0,Kepler-791,1.2363765297720677e+27,1.7140284893806175,2.469314712302747,F,#f8f7ff
135,Kepler-173 c,+41 53 02,transit,2014.0,809.64,,1.06,,0.949,6031.0,Confirmed planets,8.005777,,0.22145,19 38 35,,,0,Kepler-173,4.1068273324332826e+26,0.9878610950628357,1.423161838244383,F,#f8f7ff
136,Kepler-173 b,+41 53 02,transit,2014.0,809.64,,1.06,,0.949,6031.0,Confirmed planets,4.263742,,0.11756,19 38 35,,,0,Kepler-173,4.1068273324332826e+26,0.9878610950628357,1.423161838244383,F,#f8f7ff
137,Kepler-611 b,+45 28 49,transit,2016.0,,,1.01,0.06,1.01,5761.0,Confirmed planets,2.4370333,,0.147,19 04 01,,,0,Kepler-611,3.873030824838387e+26,0.9593302450823519,1.382058876392932,G,#fff4ea
138,KOI-1299 b,+48 17 09.2,transit,2014.0,870.0,0.535,1.3530000000000002,-0.07,4.16,4850.0,"""Confirmed planets,  Planets in binary systems,  S-type""",52.50097,4.87,1.12,19 33 07.73,0.3034,,2,KOI-1299,3.3004284390101116e+27,2.800449982897173,4.034467563800437,S-type binary,nan
139,KOI-1299 c,+48 17 09.2,RV,2014.0,870.0,0.498,1.3530000000000002,-0.07,4.16,4850.0,"""Controversial,  Planets in binary systems,  S-type""",406.2,2.43,,19 33 07.73,,,2,KOI-1299,3.3004284390101116e+27,2.800449982897173,4.034467563800437,S-type binary,nan
140,Kepler-34 (AB) b,+44 38 30,transit,2012.0,1500.0,0.182,,,,,"""Confirmed planets,  Planets in binary systems,  P-type""",288.822,0.22,0.764,19 45 45,1.0896,,1,Kepler-34 (AB),,,,P-type binary,nan
141,Rho Coronae Borealis b,+33 18 12.63,RV,1997.0,17.24,0.0373,0.889,-0.31,1.3617,5627.0,Confirmed planets,39.8458,1.0449,,16 01 02.662,0.2196,,0,Rho Coronae Borealis,6.40747972377841e+26,1.2339179452353475,1.7776435775843256,G,#fff4ea
142,Rho Coronae Borealis c,+33 18 12.63,RV,2016.0,17.24,0.052000000000000005,0.889,-0.31,1.3617,5627.0,Confirmed planets,102.54,0.0787,,16 01 02.662,0.4123,,0,Rho Coronae Borealis,6.40747972377841e+26,1.2339179452353475,1.7776435775843256,G,#fff4ea
143,BD+03 2562 b,+02 45 36,RV,2017.0,2618.0,0.2,1.14,-0.71,32.35,4095.0,Confirmed planets,481.9,6.4,,11 50 16,1.3,,0,BD+03 2562,1.01433380457601e+29,15.525053654679345,22.36616464446425,K,#ffd2a1
144,Kepler-260 b,+38 00 50,transit,2014.0,539.35,,0.9,,0.862,5250.0,Confirmed planets,8.187399000000001,,0.18317,19 27 42,,,0,Kepler-260,1.945666719048188e+26,0.6799498545521685,0.9795695870145721,G,#fff4ea
145,Kepler-260 c,+38 00 50,transit,2014.0,539.35,,0.9,,0.862,5250.0,Confirmed planets,76.050178,,0.15857000000000002,19 27 42,,,0,Kepler-260,1.945666719048188e+26,0.6799498545521685,0.9795695870145721,G,#fff4ea
146,Kepler-906 b,+40 07 32,transit,2016.0,,,1.06,-0.09,1.02,6035.0,Confirmed planets,41.6979976,,0.188,19 25 37,,,0,Kepler-906,4.756923270392645e+26,1.0631773926244,1.5316662433912003,F,#f8f7ff
147,KELT-10 b,-47 00 11.68,transit,2015.0,183.0,0.0,1.112,0.09,1.209,5948.0,Confirmed planets,4.166286,0.679,1.399,18 58 11.601,0.0525,1377.0,0,KELT-10,6.305988089443548e+26,1.224106582007964,1.7635088396174676,G,#fff4ea
148,Gliese 3634 b,-31 08 39,RV,2011.0,19.8,0.08,0.45,,0.43,3314.0,Confirmed planets,2.64561,0.022,,10 58 35,0.0287,565.4,0,Gliese 3634,7.687119501093518e+24,0.135152622239321,0.19470759125039352,M,#ffcc6f
149,Kepler-504 b,+45 58 21,transit,2016.0,,,0.33,-0.31,0.33,3519.0,Confirmed planets,9.54927542,,0.142,18 59 41,,,0,Kepler-504,5.756011488849252e+24,0.11695087787488288,0.1684852528078614,M,#ffcc6f
150,HD 156279 b,+63 21 07.532,RV,2011.0,36.52,0.708,0.93,0.14,,5453.0,Confirmed planets,131.05,9.71,,17 12 23.2036,0.495,,0,HD 156279,,,,G,#fff4ea
151,HD 156279 c,+63 21 07.532,RV,2016.0,36.52,0.231,0.93,0.14,,5453.0,Confirmed planets,4191.0,8.6,,17 12 23.2036,4.97,,0,HD 156279,,,,G,#fff4ea
152,Kepler-864 b,+46 19 14,transit,2016.0,,,1.0,0.04,1.0,5754.0,Confirmed planets,5.83376092,,0.214,19 00 14,,,0,Kepler-864,3.7782973634859155e+26,0.9475251096122246,1.3650518109458192,G,#fff4ea
153,Kepler-247 c,+43 02 21,transit,2014.0,695.58,,0.773,,0.768,5100.0,Confirmed planets,9.439452,,0.37272,19 14 34,,,0,Kepler-247,1.3753709574249303e+26,0.5716794549649619,0.8235898630694949,K,#ffd2a1
154,Kepler-247 d,+43 02 21,transit,2014.0,695.58,,0.773,,0.768,5100.0,Confirmed planets,20.477912,,0.35905,19 14 34,,,0,Kepler-247,1.3753709574249303e+26,0.5716794549649619,0.8235898630694949,K,#ffd2a1
155,Kepler-247 b,+43 02 21,transit,2014.0,695.58,,0.773,,0.768,5100.0,Confirmed planets,3.33616,,0.14945,19 14 34,,,0,Kepler-247,1.3753709574249303e+26,0.5716794549649619,0.8235898630694949,K,#ffd2a1
156,Kepler-942 b,+44 08 59,transit,2016.0,,,0.81,0.09,0.75,4861.0,Confirmed planets,44.96417488,,0.19,19 39 49,,,0,Kepler-942,1.0825344252962073e+26,0.5071816335090519,0.730671092804418,K,#ffd2a1
157,Kepler-166 b,+48 52 52,transit,2014.0,639.62,,0.879,,0.742,5413.0,Confirmed planets,7.6502539999999986,,0.20687,19 32 38,,,0,Kepler-166,1.6292083375112744e+26,0.6222013829083055,0.8963742658593685,G,#fff4ea
158,Kepler-166 c,+48 52 52,transit,2014.0,639.62,,0.879,,0.742,5413.0,Confirmed planets,34.260281,,0.21689,19 32 38,,,0,Kepler-166,1.6292083375112744e+26,0.6222013829083055,0.8963742658593685,G,#fff4ea
159,Kepler-166 d,+48 52 52,transit,2016.0,639.62,,0.879,,0.742,5413.0,Confirmed planets,1.55400393,,0.154,19 32 38,,,0,Kepler-166,1.6292083375112744e+26,0.6222013829083055,0.8963742658593685,G,#fff4ea
160,Kepler-819 b,+39 10 38,transit,2016.0,,,0.86,-0.06,0.81,5279.0,Confirmed planets,33.1995648,,0.246,19 41 29,,,0,Kepler-819,1.756278524072962e+26,0.6460101706016255,0.9306743898639891,G,#fff4ea
161,Kepler-554 b,+51 21 29,transit,2016.0,,,0.93,0.14,0.92,5447.0,Confirmed planets,1.90220856,,0.383,19 45 38,,,0,Kepler-554,2.5681587191144037e+26,0.7811844512422987,1.1254131832848455,G,#fff4ea
162,Kepler-8 b,+42 27 04,transit,2010.0,1330.0,0.0,1.13,0.05,1.45,6251.0,Confirmed planets,3.52254,0.59,1.42,18 45 09,0.0483,1519.5,0,Kepler-8,1.1064981829725882e+27,1.6215039562073104,2.3360192668481896,F,#f8f7ff
163,HAT-P-56 b,+27 15 08.2182,transit,2015.0,310.5,,1.296,,1.4280000000000002,6566.0,Confirmed planets,2.7908327,2.18,1.466,06 43 23.52950,0.0423,1840.0,0,HAT-P-56,1.3064013889425824e+27,1.7618988691007749,2.538279162811512,F,#f8f7ff
164,Kepler-266 b,+44 10 00,transit,2014.0,1577.36,,1.06,,1.028,5885.0,Confirmed planets,6.61833,,0.226,19 37 56,,,0,Kepler-266,4.369067989351892e+26,1.018912902141299,1.4678966163052445,G,#fff4ea
165,Kepler-266 c,+44 10 00,transit,2014.0,1577.36,,1.06,,1.028,5885.0,Confirmed planets,107.723601,,0.3545,19 37 56,,,0,Kepler-266,4.369067989351892e+26,1.018912902141299,1.4678966163052445,G,#fff4ea
166,Kepler-920 b,+49 09 31,transit,2016.0,,,0.89,0.0,0.85,5403.0,Confirmed planets,6.53192704,,0.21600000000000005,18 57 11,,,0,Kepler-920,2.1222396615154462e+26,0.7101332918979035,1.0230533484382953,G,#fff4ea
167,Kepler-920 c,+49 09 31,transit,2016.0,,,0.89,0.0,0.85,5403.0,Confirmed planets,100.8274113,,0.339,18 57 11,,,0,Kepler-920,2.1222396615154462e+26,0.7101332918979035,1.0230533484382953,G,#fff4ea
168,Kepler-890 b,+43 45 49,transit,2016.0,,,1.09,0.09,1.13,5954.0,Confirmed planets,52.75875577,,0.7929999999999999,19 13 45,,,0,Kepler-890,5.5310669227877265e+26,1.1464288766368345,1.651602472903481,G,#fff4ea
169,HD 12661 b,+25 24 51,RV,2000.0,37.16,0.377,1.07,0.29,1.12,5742.0,Confirmed planets,263.6,2.3,,02 04 34,0.83,291.4,0,HD 12661,4.7000827366702934e+26,1.0568063437287885,1.5224877934014813,G,#fff4ea
170,HD 12661 c,+25 24 51,RV,2002.0,37.16,0.031,1.07,0.29,1.12,5742.0,Confirmed planets,1708.0,1.57,,02 04 34,2.56,167.5,0,HD 12661,4.7000827366702934e+26,1.0568063437287885,1.5224877934014813,G,#fff4ea
171,Kepler-213 b,+44 38 49,transit,2014.0,702.35,,0.976,,1.195,5696.0,Confirmed planets,2.46236,,0.14762999999999998,19 23 17,,,0,Kepler-213,5.1812248295622464e+26,1.1095806619031796,1.5985171016114408,G,#fff4ea
172,Kepler-213 c,+44 38 49,transit,2014.0,702.35,,0.976,,1.195,5696.0,Confirmed planets,4.822962,,0.21324,19 23 17,,,0,Kepler-213,5.1812248295622464e+26,1.1095806619031796,1.5985171016114408,G,#fff4ea
173,HD 128311 b,+09 44 47,RV,2002.0,16.6,0.3,0.828,0.08,0.73,4965.0,Confirmed planets,460.1,1.83,,14 36 00,,177.7,0,HD 128311,1.1161933649199484e+26,0.515006106261194,0.741943417507643,K,#ffd2a1
174,HD 128311 c,+09 44 47,RV,2005.0,16.6,0.12,0.828,0.08,0.73,4965.0,Confirmed planets,910.7,3.2,,14 36 00,,140.7,0,HD 128311,1.1161933649199484e+26,0.515006106261194,0.741943417507643,K,#ffd2a1
175,WASP-49 b,-16 57 55,transit,2011.0,170.0,0.0,0.938,-0.23,0.976,5600.0,Confirmed planets,2.7817387000000005,0.378,1.115,06 04 21,0.0379,1369.0,0,WASP-49,3.229002998930734e+26,0.875945093369356,1.2619300785414431,G,#fff4ea
176,Kepler-44 b,+45 45 44,transit,2011.0,2250.0,,1.12,0.42,1.35,5800.0,Confirmed planets,3.2467293,1.0,1.09,20 00 25,0.0446,,0,Kepler-44,7.108798696310975e+26,1.299692965034421,1.8724023433213812,G,#fff4ea
177,HD 72892 b,-14 27 24.1,RV,2016.0,72.78,0.423,1.02,0.25,1.22,5688.0,Confirmed planets,39.475,5.45,,08 34 52.60,0.228,,0,HD 72892,5.370005336020023e+26,1.1296138763907404,1.6273779470264003,G,#fff4ea
178,Kepler-1043 b,+47 34 07,transit,2016.0,,,0.92,-0.11,0.9,5629.0,Confirmed planets,38.5053398,,0.227,18 46 39,,,0,Kepler-1043,2.8030233690663643e+26,0.8161237554559297,1.175748483116132,G,#fff4ea
179,Kepler-1306 b,+46 56 45,transit,2016.0,,,0.98,0.0,0.97,5727.0,Confirmed planets,16.29595382,,0.17,19 37 55,,,0,Kepler-1306,3.488742420725083e+26,0.910494052112435,1.3117030272687153,G,#fff4ea
180,Kepler-821 b,+39 22 46,transit,2016.0,,,0.84,-0.03,0.8,5191.0,Confirmed planets,1.92279873,,0.117,19 02 28,,,0,Kepler-821,1.6017723572438218e+26,0.6169401821135982,0.8887947182571906,K,#ffd2a1
181,WASP-138 b,-00 27 50.5,transit,2016.0,308.0,,1.22,-0.09,1.36,6272.0,Confirmed planets,3.634433,1.22,,02 46 33.37,0.0494,,0,WASP-138,9.865491357425423e+26,1.5310945841871186,2.205771027777096,F,#f8f7ff
182,Kepler-242 b,+41 48 30,transit,2014.0,859.95,,0.72,,0.85,5020.0,Confirmed planets,8.20395,,0.23785,19 06 15,,,0,Kepler-242,1.581500833061485e+26,0.6130238518220242,0.883152658007238,K,#ffd2a1
183,Kepler-242 c,+41 48 30,transit,2014.0,859.95,,0.72,,0.85,5020.0,Confirmed planets,14.496481,,0.18226,19 06 15,,,0,Kepler-242,1.581500833061485e+26,0.6130238518220242,0.883152658007238,K,#ffd2a1
184,Kepler-518 b,+41 22 26,transit,2016.0,,,0.96,-0.23,0.88,5842.0,Confirmed planets,8.51203588,,0.188,19 08 22,,,0,Kepler-518,3.1090539617156694e+26,0.8595215899270587,1.2382695624363262,G,#fff4ea
185,Kepler-1069 b,+47 59 20,transit,2016.0,,,0.99,0.04,0.98,5722.0,Confirmed planets,23.8990296,,0.14300000000000002,19 23 55,,,0,Kepler-1069,3.548626327401448e+26,0.9182750726950756,1.3229127526148723,G,#fff4ea
186,Kepler-1475 b,+44 45 11,transit,2016.0,,,1.18,0.03,1.28,6214.0,Confirmed planets,82.177374,,0.261,19 43 48,,,0,Kepler-1475,8.420185125760679e+26,1.4145017205823547,2.037801548137473,F,#f8f7ff
187,Kepler-706 b,+41 56 39,transit,2016.0,,,0.87,-0.06,0.84,5394.0,Confirmed planets,41.40831347,,1.175,19 27 02,,,0,Kepler-706,2.0588231626238365e+26,0.699442766062924,1.0076520450818343,G,#fff4ea
188,Kepler-170 b,+41 37 46,transit,2014.0,849.82,,1.089,,1.035,5679.0,Confirmed planets,7.930592,,0.29162,18 58 05,,,0,Kepler-170,3.840474442547217e+26,0.9552897100306614,1.3762378805865443,G,#fff4ea
189,Kepler-170 c,+41 37 46,transit,2014.0,849.82,,1.089,,1.035,5679.0,Confirmed planets,16.665863,,0.26063000000000003,18 58 05,,,0,Kepler-170,3.840474442547217e+26,0.9552897100306614,1.3762378805865443,G,#fff4ea
190,Kepler-1065 b,+38 47 26,transit,2016.0,,,0.94,-0.01,0.93,5635.0,Confirmed planets,3.60930891,,0.333,19 38 03,,,0,Kepler-1065,3.005787566467523e+26,0.845126659822505,1.2175315100002264,G,#fff4ea
191,Kepler-1065 c,+38 47 26,transit,2016.0,,,0.94,-0.01,0.93,5635.0,Confirmed planets,2.37030743,,0.14300000000000002,19 38 03,,,0,Kepler-1065,3.005787566467523e+26,0.845126659822505,1.2175315100002264,G,#fff4ea
192,HD 175167 b,-69 56 39,RV,2010.0,67.02,0.54,1.102,0.19,,5940.0,Confirmed planets,1290.0,7.8,,19 00 01,2.4,154.0,0,HD 175167,,,,G,#fff4ea
193,Kepler-725 b,+44 48 42,transit,2016.0,,,0.88,-0.01,0.84,5363.0,Confirmed planets,39.64317811,,0.948,18 55 55,,,0,Kepler-725,2.01190034443528e+26,0.691426296257671,0.9961031198723153,G,#fff4ea
194,Kepler-1394 b,+45 05 03,transit,2016.0,,,1.64,0.06,2.55,6481.0,Confirmed planets,3.93766373,,0.124,18 53 49,,,0,Kepler-1394,3.9542593635403493e+27,3.065315885822168,4.416046560259467,F,#f8f7ff
195,Kepler-795 b,+38 32 44,transit,2016.0,,,0.94,-0.02,0.96,5631.0,Confirmed planets,29.619342100000004,,0.15,19 24 05,,,0,Kepler-795,3.193752669267058e+26,0.8711507208007142,1.2550230669057814,G,#fff4ea
196,Kepler-94 b,+47 29 49,transit,2014.0,223.0,,0.81,0.34,0.76,4781.0,Confirmed planets,2.50806,0.034099000000000004,0.319867,18 44 47,,,0,Kepler-94,1.0402048260336137e+26,0.49716676886237016,0.7162431805690104,K,#ffd2a1
197,Kepler-94 c,+47 29 49,RV,2014.0,223.0,,0.81,0.34,0.76,4781.0,Confirmed planets,820.3,9.83346,,18 44 47,,,0,Kepler-94,1.0402048260336137e+26,0.49716676886237016,0.7162431805690104,K,#ffd2a1
198,TYC 3667-1280-1 b,+58 25 34.268,RV,2016.0,481.0,0.036000000000000004,1.87,-0.08,6.26,5130.0,Confirmed planets,26.468000000000004,5.4,,00 51 32.9649,0.21,,0,TYC 3667-1280-1,9.354806998359849e+27,4.714765272710614,6.792325404792682,K,#ffd2a1
199,Kepler-1329 b,+48 16 16,transit,2016.0,,,0.72,0.02,0.69,4500.0,Confirmed planets,9.33646594,,0.194,18 46 35,,,0,Kepler-1329,6.729223324477576e+25,0.39987580820767704,0.5760809825617208,K,#ffd2a1
200,HD 202206 b,-20 47 21,RV,2002.0,46.34,0.435,1.13,0.37,1.02,5750.0,Confirmed planets,255.87,17.4,,21 14 57,0.83,277.6,0,HD 202206,3.920021304181743e+26,0.9651323519086527,1.3904176801335362,G,#fff4ea
201,HD 202206 c,-20 47 21,RV,2004.0,46.34,0.267,1.13,0.37,1.02,5750.0,Confirmed planets,1383.4,2.44,,21 14 57,2.55,159.6,0,HD 202206,3.920021304181743e+26,0.9651323519086527,1.3904176801335362,G,#fff4ea
202,Kepler-918 b,+48 16 04,transit,2016.0,,,1.11,0.06,1.14,6028.0,Confirmed planets,4.85386933,,0.155,19 52 48,,,0,Kepler-918,5.9145183324032224e+26,1.1855021643529273,1.7078933950282655,F,#f8f7ff
203,Kepler-1326 b,+39 16 08,transit,2016.0,,,1.45,0.02,1.74,6725.0,Confirmed planets,42.351426700000005,,0.373,19 44 53,,,0,Kepler-1326,2.134441991253386e+27,2.2520853123289206,3.2444661390104987,F,#f8f7ff
204,Kepler-924 b,+40 23 52,transit,2016.0,,,1.14,0.01,1.23,6167.0,Confirmed planets,61.03701170000001,,0.274,19 22 40,,,0,Kepler-924,7.542628566428333e+26,1.3387639858574905,1.928689999647301,F,#f8f7ff
205,Kepler-1255 b,+42 43 35,transit,2016.0,,,1.08,0.02,1.12,6018.0,Confirmed planets,36.2919336,,0.207,19 40 57,,,0,Kepler-1255,5.6710239833447375e+26,1.1608427732609357,1.6723678494511987,F,#f8f7ff
206,EPIC 211990866 b,+20 06 22,,2016.0,,0.24,1.18,,1.19,6120.0,Confirmed planets,1.673916,,0.31,08 38 24,,,0,EPIC 211990866,6.8472520762832e+26,1.2755597838905712,1.8376348819738104,F,#f8f7ff
207,EPIC 201828749 b,+05 53 39.56,transit,2015.0,146.0,,0.74,-0.69,0.71,5552.0,"""Controversial,  Planets in binary systems,  S-type""",33.51569,,0.353,11 42 37.042,0.1875,613.0,2,EPIC 201828749,1.6509397803530724e+26,0.626337300524696,0.9023326745336117,S-type binary,nan
208,HD 131664 b,-73 32 07.2,RV,,55.43,0.638,1.1,0.32,1.16,5886.0,Controversial,1951.0,85.2,,15 00 06.08,3.17,,0,HD 131664,5.566903775118316e+26,1.150136847377922,1.6569443600194091,G,#fff4ea
209,Kepler-728 b,+45 06 56,transit,2016.0,,,0.95,-0.03,0.93,5660.0,Confirmed planets,5.74347727,,0.298,19 24 22,,,0,Kepler-728,3.0594849900340117e+26,0.852642200072901,1.2283587711724795,G,#fff4ea
210,WASP-92 b,+51 02 27.9,transit,2016.0,530.0,0.0,1.19,0.0,1.341,6280.0,Confirmed planets,2.1746742,0.805,1.461,16 26 46.10,0.0348,,0,WASP-92,9.640794721537293e+26,1.5135580348394395,2.1805070023682216,F,#f8f7ff
211,OGLE-2015-BLG-0954L b,-28 20 21,,2016.0,600.0,,0.37,,,,Confirmed planets,,4.4,,18 00 44,1.2,,0,OGLE-2015-BLG-0954L,,,,nan,nan
212,Kepler-968 b,+50 06 43,transit,2016.0,,,0.76,0.13,0.7,4598.0,Confirmed planets,3.69298373,,0.17800000000000002,19 02 25,,,0,Kepler-968,7.548986570503248e+25,0.423532738623343,0.6101623334174676,K,#ffd2a1
213,Kepler-968 c,+50 06 43,transit,2016.0,,,0.76,0.13,0.7,4598.0,Confirmed planets,5.70940492,,0.151,19 02 25,,,0,Kepler-968,7.548986570503248e+25,0.423532738623343,0.6101623334174676,K,#ffd2a1
214,Kepler-1085 b,+46 08 28,transit,2016.0,,,1.11,0.08,1.14,6000.0,Confirmed planets,219.32175279999998,,0.644,19 09 55,,,0,Kepler-1085,5.805390116501386e+26,1.1745144511607133,1.6920639487803202,nan,nan
215,HAT-P-47 b,+30 21 37.8,transit,2016.0,268.0,0.0,1.3869999999999998,0.0,1.515,6703.0,Confirmed planets,4.732182,0.206,1.3130000000000002,02 33 13.96,0.0615,,0,HAT-P-47,1.5970512324180268e+27,1.9480589021130428,2.806470567568192,F,#f8f7ff
216,Kepler-709 b,+42 22 49,transit,2016.0,,,0.8,-0.08,0.77,5071.0,Confirmed planets,16.08524954,,0.261,19 28 25,,,0,Kepler-709,1.3513647850630407e+26,0.5666683527132428,0.8163706198703956,K,#ffd2a1
217,Kepler-1639 b,+48 48 08,transit,2016.0,,,1.12,-0.03,1.18,6150.0,Confirmed planets,9.878482,,0.23,18 52 16,,,0,Kepler-1639,6.865642454750965e+26,1.2772715871893463,1.8401009909658268,F,#f8f7ff
218,Kepler-1256 b,+44 41 01,transit,2016.0,,,1.17,0.05,1.36,6129.0,Confirmed planets,12.4127754,,0.133,19 25 54,,,0,Kepler-1256,8.99607375051497e+26,1.4620733587169437,2.106335616656096,F,#f8f7ff
219,Kepler-977 b,+42 14 54,transit,2016.0,,,0.87,-0.01,0.83,5315.0,Confirmed planets,26.85328322,,0.234,19 26 04,,,0,Kepler-977,1.894898557598262e+26,0.6710202750285116,0.966705190518799,G,#fff4ea
